processo,duracao,status,data_distribuicao,data_decisao,camara,crime,liminar,fisico,decisao
00059770720228260000,234,0,2022-02-21,NA,15CDC,Execução penal,não,sim,NA
00059788920228260000,66,1,2022-02-21,2022-04-28,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00059797420228260000,22,1,2022-02-21,2022-03-15,9CDC,Crimes contra o Patrimônio,sim,sim,denegado
00059805920228260000,234,0,2022-02-21,NA,3CDC,Crimes contra o Patrimônio,não,sim,NA
00059822920228260000,2,1,2022-02-21,2022-02-23,5CDC,Roubo,sim,sim,denegado
00059831420228260000,35,1,2022-02-21,2022-03-28,4CDC,Crimes do Sistema Nacional de Armas,não,sim,prejudicado/extinto
00059849620228260000,11,1,2022-02-21,2022-03-04,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00059858120228260000,25,1,2022-02-21,2022-03-18,16CDC,Latrocínio,não,sim,denegado
00059866620228260000,234,0,2022-02-21,NA,1CDC,Roubo Majorado,não,sim,NA
00059875120228260000,234,0,2022-02-21,NA,3CDC,Crimes contra a vida,não,sim,NA
00059892120228260000,234,0,2022-02-21,NA,6CDC,Crimes contra o Patrimônio,não,sim,NA
00059918820228260000,234,0,2022-02-21,NA,1CDC,Estupro de vulnerável,não,sim,NA
00059927320228260000,37,1,2022-02-21,2022-03-30,10CDC,Furto Qualificado,não,sim,denegado
00059935820228260000,37,1,2022-02-21,2022-03-30,16CDC,Roubo,não,sim,denegado
00059944320228260000,39,1,2022-02-21,2022-04-01,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00059961320228260000,234,0,2022-02-21,NA,15CDC,Ameaça,não,sim,NA
00059979520228260000,234,0,2022-02-21,NA,6CDC,Resistência,não,sim,NA
00059988020228260000,11,1,2022-02-21,2022-03-04,7CDC,Violação sexual mediante fraude,não,sim,denegado
00059996520228260000,28,1,2022-02-21,2022-03-21,1CDC,Roubo,não,sim,denegado
00060005020228260000,37,1,2022-02-21,2022-03-30,12CDC,Execução penal,não,sim,denegado
00060013520228260000,9,1,2022-02-21,2022-03-02,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00060022020228260000,21,1,2022-02-21,2022-03-14,7CDC,Execução penal,sim,sim,denegado
00060048720228260000,24,1,2022-02-21,2022-03-17,7CDC,Crimes contra a vida,não,sim,não conhecido
00060239320228260000,23,1,2022-02-21,2022-03-16,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00060256320228260000,31,1,2022-02-21,2022-03-24,1CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00060273320228260000,29,1,2022-02-21,2022-03-22,5CDC,Roubo,não,sim,prejudicado/extinto
00060325520228260000,46,1,2022-02-21,2022-04-08,3CDC,Decorrente de Violência Doméstica,não,sim,prejudicado/extinto
00060723720228260000,234,0,2022-02-21,NA,16CDC,Crimes do Sistema Nacional de Armas,não,sim,NA
00060819620228260000,37,1,2022-02-21,2022-03-30,5CDC,Receptação,não,sim,não conhecido
00061027220228260000,107,1,2022-02-21,2022-06-08,10CDC,Denunciação caluniosa,não,sim,denegado
00061096420228260000,236,0,2022-02-19,NA,NA,2º Grau,não,sim,NA
00061104920228260000,46,1,2022-02-21,2022-04-08,3CDC,Decorrente de Violência Doméstica,não,sim,não conhecido
00061130420228260000,32,1,2022-02-21,2022-03-25,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00061148620228260000,46,1,2022-02-21,2022-04-08,11CDC,Crimes contra a Fauna,sim,sim,concedido
00061157120228260000,70,1,2022-02-21,2022-05-02,12CDC,Furto Qualificado,sim,sim,denegado
00061165620228260000,29,1,2022-02-21,2022-03-22,16CDC,Tráfico de Drogas e Condutas Afins,sim,sim,concedido
00061174120228260000,49,1,2022-02-21,2022-04-11,4CDC,Execução penal,não,sim,prejudicado/extinto
00061191120228260000,54,1,2022-02-21,2022-04-16,7CDC,Furto Qualificado,não,sim,prejudicado/extinto
00061209320228260000,234,0,2022-02-21,NA,2CDC,Incêndio,não,sim,NA
00061217820228260000,234,0,2022-02-21,NA,5CDC,Roubo,não,sim,NA
00061226320228260000,234,0,2022-02-21,NA,3CDC,Receptação,não,sim,NA
00061243320228260000,37,1,2022-02-21,2022-03-30,9CDC,Crime de Descumprimento de Medida Protetiva de Urgência,não,sim,não conhecido
00061251820228260000,31,1,2022-02-21,2022-03-24,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00061260320228260000,16,1,2022-02-21,2022-03-09,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00061287020228260000,72,1,2022-02-21,2022-05-04,12CDC,Estelionato,não,sim,denegado
00061295520228260000,57,1,2022-02-21,2022-04-19,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00061304020228260000,21,1,2022-02-21,2022-03-14,9CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00061668220228260000,233,0,2022-02-22,NA,6CDC,Estupro de vulnerável,não,sim,NA
00061710720228260000,42,1,2022-02-22,2022-04-05,7CDC,Latrocínio,não,sim,não conhecido
00061728920228260000,14,1,2022-02-22,2022-03-08,10CDC,Latrocínio,não,sim,denegado
00061737420228260000,13,1,2022-02-22,2022-03-07,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00061745920228260000,64,1,2022-02-22,2022-04-27,14CDC,Estelionato,não,sim,denegado
00061754420228260000,30,1,2022-02-22,2022-03-24,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00061762920228260000,233,0,2022-02-22,NA,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00061771420228260000,31,1,2022-02-22,2022-03-25,16CDC,Extorsão mediante seqüestro,não,sim,denegado
00061789620228260000,27,1,2022-02-22,2022-03-21,11CDC,Roubo Majorado,não,sim,denegado
00061928020228260000,29,1,2022-02-22,2022-03-23,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00062698920228260000,29,1,2022-02-23,2022-03-24,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00062906520228260000,26,1,2022-02-23,2022-03-21,2CDC,Execução penal,não,sim,não conhecido
00062932020228260000,35,1,2022-02-23,2022-03-30,7CDC,Homicídio Simples,não,sim,denegado
00062940520228260000,232,0,2022-02-23,NA,2CDC,Roubo,não,sim,NA
00062958720228260000,26,1,2022-02-23,2022-03-21,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00062975720228260000,34,1,2022-02-23,2022-03-29,11CDC,Homicídio Qualificado,não,sim,não conhecido
00062984220228260000,232,0,2022-02-23,NA,7CDC,Roubo,não,sim,NA
00063061920228260000,14,1,2022-02-23,2022-03-09,6CDC,Furto Qualificado,sim,sim,denegado
00063746620228260000,49,1,2022-02-23,2022-04-13,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00063832820228260000,36,1,2022-02-23,2022-03-31,7CDC,Execução penal,não,sim,concedido
00064257720228260000,231,0,2022-02-24,NA,14CDC,Ameaça,não,sim,NA
00064266220228260000,19,1,2022-02-24,2022-03-15,8CDC,Roubo,sim,sim,denegado
00064274720228260000,231,0,2022-02-24,NA,2CDC,Roubo,não,sim,NA
00064404620228260000,47,1,2022-02-24,2022-04-12,16CDC,Furto,não,sim,denegado
00064413120228260000,19,1,2022-02-24,2022-03-15,9CDC,Seqüestro e cárcere privado,sim,sim,denegado
00064421620228260000,68,1,2022-02-24,2022-05-03,1CDC,Execução penal,não,sim,denegado
00064439820228260000,231,0,2022-02-24,NA,1CDC,Roubo,não,sim,NA
00064448320228260000,231,0,2022-02-24,NA,4CDC,Roubo,não,sim,NA
00064456820228260000,18,1,2022-02-24,2022-03-14,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00064465320228260000,12,1,2022-02-24,2022-03-08,6CDC,Execução penal,sim,sim,denegado
00064473820228260000,29,1,2022-02-24,2022-03-25,3CDC,Execução penal,não,sim,não conhecido
00064482320228260000,35,1,2022-02-24,2022-03-31,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00064490820228260000,231,0,2022-02-24,NA,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00064517520228260000,231,0,2022-02-24,NA,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00064526020228260000,231,0,2022-02-24,NA,16CDC,Livramento condicional,não,sim,NA
00064569720228260000,231,0,2022-02-24,NA,15CDC,Roubo,não,sim,NA
00064578220228260000,231,0,2022-02-24,NA,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00064586720228260000,12,1,2022-02-24,2022-03-08,6CDC,Roubo,sim,sim,denegado
00064595220228260000,231,0,2022-02-24,NA,NA,Roubo,não,sim,NA
00064603720228260000,8,1,2022-02-24,2022-03-04,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00064612220228260000,8,1,2022-02-24,2022-03-04,8CDC,Roubo,sim,sim,denegado
00064620720228260000,231,0,2022-02-24,NA,6CDC,Execução penal,não,sim,NA
00064647420228260000,231,0,2022-02-24,NA,6CDC,Execução penal,não,sim,NA
00064655920228260000,47,1,2022-02-24,2022-04-12,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00064681420228260000,231,0,2022-02-24,NA,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00064802820228260000,96,1,2022-02-24,2022-05-31,11CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00064811320228260000,29,1,2022-02-24,2022-03-25,3CDC,Roubo Majorado,não,sim,não conhecido
00064829520228260000,26,1,2022-02-24,2022-03-22,9CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00064838020228260000,12,1,2022-02-24,2022-03-08,5CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00064846520228260000,231,0,2022-02-24,NA,11CDC,Roubo,não,sim,NA
00064863520228260000,231,0,2022-02-24,NA,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00064880520228260000,35,1,2022-02-24,2022-03-31,3CDC,Execução penal,não,sim,não conhecido
00064898720228260000,28,1,2022-02-24,2022-03-24,15CDC,Execução penal,não,sim,não conhecido
00064907220228260000,11,1,2022-02-24,2022-03-07,2CDC,Execução penal,não,sim,não conhecido
00064915720228260000,26,1,2022-02-24,2022-03-22,9CDC,Execução penal,não,sim,não conhecido
00064959420228260000,32,1,2022-02-24,2022-03-28,4CDC,Roubo,não,sim,denegado
00064967920228260000,231,0,2022-02-24,NA,10CDC,Furto,não,sim,NA
00064976420228260000,231,0,2022-02-24,NA,NA,Execução penal,não,sim,NA
00064993420228260000,35,1,2022-02-24,2022-03-31,4CDC,Roubo,não,sim,denegado
00065001920228260000,231,0,2022-02-24,NA,6CDC,Homicídio Qualificado,não,sim,NA
00065010420228260000,231,0,2022-02-24,NA,14CDC,Roubo Majorado,não,sim,NA
00065037120228260000,231,0,2022-02-24,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00065062620228260000,231,0,2022-02-24,NA,6CDC,Quadrilha ou Bando,não,sim,NA
00065089320228260000,48,1,2022-02-24,2022-04-13,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00065097820228260000,231,0,2022-02-24,NA,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00065106320228260000,64,1,2022-02-24,2022-04-29,4CDC,Crimes contra a Fé Pública,não,sim,não conhecido
00065114820228260000,231,0,2022-02-24,NA,NA,Latrocínio,não,sim,NA
00065131820228260000,30,1,2022-02-24,2022-03-26,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00065158520228260000,130,1,2022-02-24,2022-07-04,7CDC,Homicídio Qualificado,sim,sim,denegado
00065184020228260000,20,1,2022-02-24,2022-03-16,7CDC,Latrocínio,não,sim,denegado
00065192520228260000,20,1,2022-02-24,2022-03-16,6CDC,Estelionato,não,sim,denegado
00066015620228260000,231,0,2022-02-24,NA,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00066162520228260000,31,1,2022-02-25,2022-03-28,15CDC,Crimes do Sistema Nacional de Armas,não,sim,prejudicado/extinto
00066189220228260000,41,1,2022-02-25,2022-04-07,10CDC,Crimes do Sistema Nacional de Armas,não,sim,concedido
00066214720228260000,42,1,2022-02-25,2022-04-08,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00066223220228260000,230,0,2022-02-25,NA,13CDC,Roubo,não,sim,NA
00066240220228260000,230,0,2022-02-25,NA,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00066283920228260000,60,1,2022-02-25,2022-04-26,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00066292420228260000,52,1,2022-02-25,2022-04-18,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00066300920228260000,52,1,2022-02-25,2022-04-18,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00066319120228260000,45,1,2022-02-25,2022-04-11,7CDC,Roubo Majorado,não,sim,prejudicado/extinto
00066327620228260000,19,1,2022-02-25,2022-03-16,6CDC,Furto,sim,sim,denegado
00066336120228260000,32,1,2022-02-25,2022-03-29,11CDC,Homicídio Qualificado,não,sim,não conhecido
00066344620228260000,230,0,2022-02-25,NA,15CDC,Ameaça,não,sim,NA
00066353120228260000,230,0,2022-02-25,NA,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00066361620228260000,50,1,2022-02-25,2022-04-16,7CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00066379820228260000,81,1,2022-02-25,2022-05-17,10CDC,Roubo Majorado,não,sim,prejudicado/extinto
00066388320228260000,230,0,2022-02-25,NA,4CDC,Homicídio Qualificado,não,sim,NA
00067513720228260000,21,1,2022-02-25,2022-03-18,2CDC,Latrocínio,sim,sim,denegado
00067522220228260000,230,0,2022-02-25,NA,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00067557420228260000,230,0,2022-02-25,NA,NA,Homicídio Qualificado,não,sim,NA
00067565920228260000,13,1,2022-02-25,2022-03-10,9CDC,Homicídio Qualificado,sim,sim,denegado
00067618120228260000,11,1,2022-02-25,2022-03-08,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00067635120228260000,35,1,2022-02-25,2022-04-01,4CDC,Execução penal,não,sim,NA
00067643620228260000,62,1,2022-02-25,2022-04-28,12CDC,Execução penal,não,sim,não conhecido
00067834220228260000,80,1,2022-02-25,2022-05-16,12CDC,Execução penal,não,sim,não conhecido
00067981120228260000,9,1,2022-03-02,2022-03-11,8CDC,Homicídio Qualificado,sim,sim,denegado
00068240920228260000,225,0,2022-03-02,NA,4CDC,Fechado,não,sim,NA
00068267620228260000,225,0,2022-03-02,NA,8CDC,Furto,não,sim,NA
00068276120228260000,12,1,2022-03-02,2022-03-14,8CDC,Furto Qualificado,sim,sim,denegado
00068284620228260000,29,1,2022-03-02,2022-03-31,9CDC,Fechado,não,sim,não conhecido
00068293120228260000,225,0,2022-03-02,NA,8CDC,Roubo,não,sim,NA
00068319820228260000,54,1,2022-03-02,2022-04-25,2CDC,Crimes do Sistema Nacional de Armas,não,sim,concedido
00068336820228260000,47,1,2022-03-02,2022-04-18,1CDC,Roubo,não,sim,denegado
00068345320228260000,76,1,2022-03-02,2022-05-17,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00068353820228260000,14,1,2022-03-02,2022-03-16,7CDC,Roubo,não,sim,denegado
00068362320228260000,16,1,2022-03-02,2022-03-18,8CDC,Execução penal,não,sim,não conhecido
00068370820228260000,37,1,2022-03-02,2022-04-08,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00068389020228260000,36,1,2022-03-02,2022-04-07,5CDC,Latrocínio,não,sim,não conhecido
00068397520228260000,225,0,2022-03-02,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00068414520228260000,47,1,2022-03-02,2022-04-18,6CDC,Execução penal,não,sim,denegado
00068423020228260000,225,0,2022-03-02,NA,4CDC,Homicídio Qualificado,não,sim,NA
00068431520228260000,225,0,2022-03-02,NA,4CDC,Homicídio Qualificado,não,sim,NA
00068449720228260000,225,0,2022-03-02,NA,15CDC,Roubo Majorado,não,sim,NA
00068466720228260000,47,1,2022-03-02,2022-04-18,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00068475220228260000,225,0,2022-03-02,NA,13CDC,Roubo Majorado,não,sim,NA
00068492220228260000,225,0,2022-03-02,NA,6CDC,Roubo Majorado,não,sim,NA
00068518920228260000,58,1,2022-03-02,2022-04-29,3CDC,Extorsão,não,sim,não conhecido
00068544420228260000,55,1,2022-03-02,2022-04-26,3CDC,Execução penal,não,sim,prejudicado/extinto
00069549620228260000,224,0,2022-03-03,NA,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00069558120228260000,11,1,2022-03-03,2022-03-14,1CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00069575120228260000,28,1,2022-03-03,2022-03-31,4CDC,Roubo Majorado,não,sim,prejudicado/extinto
00069592120228260000,22,1,2022-03-03,2022-03-25,7CDC,Crimes contra o Patrimônio,não,sim,denegado
00069600620228260000,27,1,2022-03-03,2022-03-30,7CDC,Latrocínio,não,sim,denegado
00069618820228260000,224,0,2022-03-03,NA,1CDC,Roubo,não,sim,NA
00069635820228260000,224,0,2022-03-03,NA,3CDC,Roubo Majorado,não,sim,NA
00069644320228260000,21,1,2022-03-03,2022-03-24,4CDC,Roubo,não,sim,prejudicado/extinto
00069956320228260000,224,0,2022-03-03,NA,16CDC,Homicídio Qualificado,não,sim,NA
00071142420228260000,223,0,2022-03-04,NA,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00071186120228260000,45,1,2022-03-04,2022-04-18,5CDC,Associação para a Produção e Tráfico e Condutas Afins,não,sim,não conhecido
00071203120228260000,223,0,2022-03-04,NA,14CDC,Roubo,não,sim,NA
00071211620228260000,223,0,2022-03-04,NA,13CDC,Roubo,não,sim,NA
00071238320228260000,17,1,2022-03-04,2022-03-21,2CDC,Execução penal,não,sim,prejudicado/extinto
00071246820228260000,66,1,2022-03-04,2022-05-09,12CDC,Roubo Majorado,não,sim,não conhecido
00071280820228260000,27,1,2022-03-04,2022-03-31,11CDC,Roubo,não,sim,prejudicado/extinto
00071341520228260000,90,1,2022-03-04,2022-06-02,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00071385220228260000,56,1,2022-03-04,2022-04-29,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00072346720228260000,55,1,2022-03-04,2022-04-28,12CDC,Roubo,não,sim,não conhecido
00072355220228260000,10,1,2022-03-04,2022-03-14,8CDC,Fechado,não,sim,denegado
00072468120228260000,3,1,2022-03-07,2022-03-10,11CDC,Extorsão,sim,sim,denegado
00072476620228260000,63,1,2022-03-07,2022-05-09,4CDC,Latrocínio,não,sim,denegado
00072493620228260000,9,1,2022-03-07,2022-03-16,7CDC,Homicídio Qualificado,sim,sim,denegado
00072502120228260000,52,1,2022-03-07,2022-04-28,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00072510620228260000,220,0,2022-03-07,NA,16CDC,Latrocínio,não,sim,NA
00072528820228260000,18,1,2022-03-07,2022-03-25,11CDC,Roubo,não,sim,não conhecido
00072537320228260000,220,0,2022-03-07,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00072545820228260000,10,1,2022-03-07,2022-03-17,7CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00072554320228260000,23,1,2022-03-07,2022-03-30,10CDC,Execução penal,não,sim,denegado
00072562820228260000,220,0,2022-03-07,NA,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00072571320228260000,18,1,2022-03-07,2022-03-25,2CDC,Roubo Majorado,não,sim,não conhecido
00072589520228260000,42,1,2022-03-07,2022-04-18,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00072598020228260000,220,0,2022-03-07,NA,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00072606520228260000,23,1,2022-03-07,2022-03-30,1CDC,Crimes contra o Patrimônio,não,sim,denegado
00072615020228260000,24,1,2022-03-07,2022-03-31,14CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00072623520228260000,43,1,2022-03-07,2022-04-19,4CDC,Crimes contra a vida,não,sim,denegado
00072658720228260000,25,1,2022-03-07,2022-04-01,12CDC,Lesão Corporal,não,sim,prejudicado/extinto
00072675720228260000,50,1,2022-03-07,2022-04-26,8CDC,Roubo,não,sim,não conhecido
00073151620228260000,50,1,2022-03-07,2022-04-26,16CDC,Associação para a Produção e Tráfico e Condutas Afins,não,sim,prejudicado/extinto
00074538020228260000,21,1,2022-03-08,2022-03-29,8CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00074546520228260000,36,1,2022-03-08,2022-04-13,9CDC,Execução penal,não,sim,não conhecido
00074555020228260000,9,1,2022-03-08,2022-03-17,14CDC,Roubo,não,sim,não conhecido
00074563520228260000,34,1,2022-03-08,2022-04-11,1CDC,Crimes contra o Patrimônio,não,sim,denegado
00074572020228260000,23,1,2022-03-08,2022-03-31,2CDC,Crimes contra o Patrimônio,não,sim,não conhecido
00074580520228260000,24,1,2022-03-08,2022-04-01,16CDC,Homicídio Qualificado,não,sim,não conhecido
00074598720228260000,52,1,2022-03-08,2022-04-29,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00074607220228260000,219,0,2022-03-08,NA,16CDC,Execução penal,não,sim,NA
00074615720228260000,219,0,2022-03-08,NA,4CDC,Execução penal,não,sim,NA
00074624220228260000,29,1,2022-03-08,2022-04-06,16CDC,Execução penal,não,sim,denegado
00074632720228260000,16,1,2022-03-08,2022-03-24,11CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00074641220228260000,219,0,2022-03-08,NA,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00074659420228260000,51,1,2022-03-08,2022-04-28,3CDC,Roubo,não,sim,não conhecido
00074667920228260000,9,1,2022-03-08,2022-03-17,9CDC,Roubo Majorado,sim,sim,denegado
00074676420228260000,23,1,2022-03-08,2022-03-31,9CDC,Execução penal,sim,sim,denegado
00074684920228260000,219,0,2022-03-08,NA,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00074693420228260000,16,1,2022-03-08,2022-03-24,2CDC,Roubo,não,sim,não conhecido
00074701920228260000,36,1,2022-03-08,2022-04-13,3CDC,Roubo,não,sim,não conhecido
00074710420228260000,219,0,2022-03-08,NA,3CDC,Roubo,não,sim,NA
00074728620228260000,219,0,2022-03-08,NA,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00074737120228260000,50,1,2022-03-08,2022-04-27,14CDC,Execução penal,não,sim,denegado
00074745620228260000,48,1,2022-03-08,2022-04-25,8CDC,Execução penal,não,sim,não conhecido
00074754120228260000,219,0,2022-03-08,NA,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00074762620228260000,219,0,2022-03-08,NA,16CDC,Execução penal,não,sim,NA
00074771120228260000,219,0,2022-03-08,NA,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00074789320228260000,52,1,2022-03-08,2022-04-29,16CDC,Furto Qualificado,não,sim,denegado
00074797820228260000,8,1,2022-03-08,2022-03-16,8CDC,Roubo Majorado,sim,sim,denegado
00074806320228260000,219,0,2022-03-08,NA,16CDC,Homicídio Qualificado,não,sim,NA
00074823320228260000,36,1,2022-03-08,2022-04-13,11CDC,Latrocínio,não,sim,não conhecido
00074831820228260000,24,1,2022-03-08,2022-04-01,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00074858520228260000,7,1,2022-03-08,2022-03-15,2CDC,Homicídio Qualificado,sim,sim,denegado
00074867020228260000,7,1,2022-03-08,2022-03-15,2CDC,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,sim,sim,denegado
00074884020228260000,219,0,2022-03-08,NA,13CDC,Estupro de vulnerável,não,sim,NA
00074892520228260000,41,1,2022-03-08,2022-04-18,11CDC,Crimes contra o Patrimônio,não,sim,denegado
00075568720228260000,37,1,2022-03-08,2022-04-14,16CDC,Crimes do Sistema Nacional de Armas,não,sim,concedido
00076737820228260000,51,1,2022-03-09,2022-04-29,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00076746320228260000,6,1,2022-03-09,2022-03-15,2CDC,Execução penal,sim,sim,denegado
00076754820228260000,106,1,2022-03-09,2022-06-23,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00076771820228260000,13,1,2022-03-09,2022-03-22,5CDC,Roubo,não,sim,não conhecido
00076807020228260000,49,1,2022-03-09,2022-04-27,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00077378820228260000,68,1,2022-03-10,2022-05-17,12CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00077387320228260000,217,0,2022-03-10,NA,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00077412820228260000,217,0,2022-03-10,NA,15CDC,Estupro de vulnerável,não,sim,NA
00077421320228260000,13,1,2022-03-10,2022-03-23,5CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00077439520228260000,217,0,2022-03-10,NA,4CDC,Roubo Majorado,não,sim,NA
00077448020228260000,217,0,2022-03-10,NA,15CDC,Roubo Majorado,não,sim,NA
00077465020228260000,61,1,2022-03-10,2022-05-10,14CDC,Seqüestro e cárcere privado,não,sim,concedido
00077473520228260000,49,1,2022-03-10,2022-04-28,15CDC,Crimes contra a Ordem Tributária,não,sim,denegado
00077802520228260000,7,1,2022-03-10,2022-03-17,2CDC,Roubo Majorado,não,sim,prejudicado/extinto
00077811020228260000,217,0,2022-03-10,NA,NA,Homicídio Qualificado,não,sim,NA
00077846220228260000,21,1,2022-03-10,2022-03-31,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,prejudicado/extinto
00077863220228260000,217,0,2022-03-10,NA,16CDC,Homicídio Qualificado,não,sim,NA
00077871720228260000,69,1,2022-03-10,2022-05-18,15CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00077880220228260000,25,1,2022-03-10,2022-04-04,9CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00078989820228260000,24,1,2022-03-11,2022-04-04,15CDC,Homicídio Qualificado,não,sim,denegado
00079474220228260000,68,1,2022-03-11,2022-05-18,16CDC,Roubo,não,sim,denegado
00080530420228260000,24,1,2022-03-14,2022-04-07,15CDC,Fechado,não,sim,prejudicado/extinto
00080557120228260000,42,1,2022-03-14,2022-04-25,11CDC,Regime de cumprimento alterado pela soma ou unificação das penas,não,sim,denegado
00080565620228260000,213,0,2022-03-14,NA,15CDC,Aberto,não,sim,NA
00080574120228260000,213,0,2022-03-14,NA,1CDC,Fechado,não,sim,NA
00080582620228260000,11,1,2022-03-14,2022-03-25,9CDC,Roubo,sim,sim,denegado
00080591120228260000,213,0,2022-03-14,NA,2CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00080609320228260000,35,1,2022-03-14,2022-04-18,8CDC,Execução penal,não,sim,não conhecido
00080617820228260000,213,0,2022-03-14,NA,15CDC,Furto Qualificado,não,sim,NA
00080634820228260000,213,0,2022-03-14,NA,NA,Execução penal,não,sim,NA
00080643320228260000,37,1,2022-03-14,2022-04-20,9CDC,Roubo Majorado,não,sim,não conhecido
00080651820228260000,28,1,2022-03-14,2022-04-11,13CDC,Homicídio Qualificado,não,sim,denegado
00080660320228260000,213,0,2022-03-14,NA,13CDC,Roubo,não,sim,NA
