processo,duracao,status,data_distribuicao,data_decisao,camara,crime,liminar,fisico,decisao
00033399820228260000,35,1,2022-01-27,2022-03-03,7CDC,Execução penal,não,sim,denegado
00033823520228260000,258,0,2022-01-28,NA,NA,Tráfico de Drogas e Condutas Afins,não,sim,NA
00033988620228260000,180,1,2022-01-28,2022-07-27,ÓE,Crimes contra a liberdade pessoal,não,sim,prejudicado/extinto
00034014120228260000,258,0,2022-01-28,NA,4CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00034022620228260000,25,1,2022-01-28,2022-02-22,4CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00034031120228260000,45,1,2022-01-28,2022-03-14,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00034049320228260000,10,1,2022-01-28,2022-02-07,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00034057820228260000,27,1,2022-01-28,2022-02-24,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00034074820228260000,258,0,2022-01-28,NA,15CDC,Execução penal,não,sim,NA
00034135520228260000,26,1,2022-01-28,2022-02-23,16CDC,Roubo,não,sim,não conhecido
00034568920228260000,5,1,2022-01-28,2022-02-02,11CDC,Homicídio Qualificado,não,sim,não conhecido
00034585920228260000,258,0,2022-01-28,NA,1CDC,Execução penal,não,sim,NA
00034629620228260000,45,1,2022-01-28,2022-03-14,12CDC,Execução penal,não,sim,não conhecido
00034655120228260000,20,1,2022-01-28,2022-02-17,2CDC,Execução penal,sim,sim,denegado
00034680620228260000,14,1,2022-01-28,2022-02-11,6CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00034698820228260000,35,1,2022-01-28,2022-03-04,11CDC,Crimes contra o Patrimônio,não,sim,denegado
00034707320228260000,33,1,2022-01-28,2022-03-02,5CDC,Homicídio Qualificado,não,sim,denegado
00034715820228260000,47,1,2022-01-28,2022-03-16,9CDC,Homicídio Qualificado,não,sim,denegado
00035097020228260000,18,1,2022-01-28,2022-02-15,11CDC,Uso de documento falso,não,sim,denegado
00035105520228260000,136,1,2022-01-28,2022-06-13,12CDC,Roubo,não,sim,denegado
00035114020228260000,258,0,2022-01-28,NA,3CDC,Extorsão,não,sim,NA
00035122520228260000,47,1,2022-01-28,2022-03-16,11CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00035149220228260000,258,0,2022-01-28,NA,6CDC,Execução penal,não,sim,NA
